name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,passed,status,failed_step,error_type,returncode,saved_make_log,cli_tail
131072rows-.00008density,/home/maytayl/matrices/cache/131072rows-.00008density.npz,512,512,131072,131072,18,8459.0,8229.0,466.0,33.0,True,ok,,,,,
131072rows-.0003density,/home/maytayl/matrices/cache/131072rows-.0003density.npz,512,512,131072,131072,42,9016.0,8564.0,1042.0,106.0,True,ok,,,,,
131072rows-.001density,/home/maytayl/matrices/cache/131072rows-.001density.npz,512,512,131072,131072,104,10395.0,9726.0,2530.0,826.0,True,ok,,,,,
131072rows-.00016density,/home/maytayl/matrices/cache/131072rows-.00016density.npz,512,512,131072,131072,29,8650.0,8358.0,730.0,33.0,True,ok,,,,,
131072rows-.0006density,/home/maytayl/matrices/cache/131072rows-.0006density.npz,512,512,131072,131072,74,9669.0,9054.0,1810.0,394.0,True,ok,,,,,
131072rows-419430nnz,/home/maytayl/matrices/cache/131072rows-419430nnz.npz,512,512,131072,131072,12,8314.0,8145.0,322.0,33.0,True,ok,,,,,
