name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,passed,status,failed_step,error_type,returncode,saved_make_log,cli_tail
matrix_131072rows_256nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_131072rows_256nnzperrow_384_cache,384,384,131072,131072,294,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/044_matrix_131072rows_256nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:08.20 FAIL smoke [ NROWS=384 XPERCOL=342 NCOLS=384 ROWSPERPE=342 NNZ_CAPACITY=294 MATRIX_NNZ=33554432 MIN_NNZ=148 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_131072rows_64nnzperrow_384,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_131072rows_64nnzperrow_384_cache,384,384,131072,131072,91,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/045_matrix_131072rows_64nnzperrow_384_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:04.60 FAIL smoke [ NROWS=384 XPERCOL=342 NCOLS=384 ROWSPERPE=342 NNZ_CAPACITY=91 MATRIX_NNZ=8388608 MIN_NNZ=26 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_131072rows_1024nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_131072rows_1024nnzperrow_512_cache,512,512,131072,131072,622,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/046_matrix_131072rows_1024nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:26.07 FAIL smoke [ NROWS=512 XPERCOL=256 NCOLS=512 ROWSPERPE=256 NNZ_CAPACITY=622 MATRIX_NNZ=134217728 MIN_NNZ=409 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_131072rows_16nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_131072rows_16nnzperrow_512_cache,512,512,131072,131072,23,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/047_matrix_131072rows_16nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.69 FAIL smoke [ NROWS=512 XPERCOL=256 NCOLS=512 ROWSPERPE=256 NNZ_CAPACITY=23 MATRIX_NNZ=2097152 MIN_NNZ=0 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_131072rows_256nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_131072rows_256nnzperrow_512_cache,512,512,131072,131072,184,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/048_matrix_131072rows_256nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:08.97 FAIL smoke [ NROWS=512 XPERCOL=256 NCOLS=512 ROWSPERPE=256 NNZ_CAPACITY=184 MATRIX_NNZ=33554432 MIN_NNZ=78 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_131072rows_64nnzperrow_512,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_131072rows_64nnzperrow_512_cache,512,512,131072,131072,62,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/049_matrix_131072rows_64nnzperrow_512_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:04.03 FAIL smoke [ NROWS=512 XPERCOL=256 NCOLS=512 ROWSPERPE=256 NNZ_CAPACITY=62 MATRIX_NNZ=8388608 MIN_NNZ=9 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_1024nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_1024nnzperrow_128_cache,128,128,32768,32768,2234,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/050_matrix_32768rows_1024nnzperrow_128_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:06.51 FAIL smoke [ NROWS=128 XPERCOL=256 NCOLS=128 ROWSPERPE=256 NNZ_CAPACITY=2234 MATRIX_NNZ=33554432 MIN_NNZ=1861 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_16nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_16nnzperrow_128_cache,128,128,32768,32768,55,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/051_matrix_32768rows_16nnzperrow_128_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.25 FAIL smoke [ NROWS=128 XPERCOL=256 NCOLS=128 ROWSPERPE=256 NNZ_CAPACITY=55 MATRIX_NNZ=524288 MIN_NNZ=12 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_256nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_256nnzperrow_128_cache,128,128,32768,32768,596,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/052_matrix_32768rows_256nnzperrow_128_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.23 FAIL smoke [ NROWS=128 XPERCOL=256 NCOLS=128 ROWSPERPE=256 NNZ_CAPACITY=596 MATRIX_NNZ=8388608 MIN_NNZ=430 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_64nnzperrow_128,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_64nnzperrow_128_cache,128,128,32768,32768,174,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/053_matrix_32768rows_64nnzperrow_128_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.51 FAIL smoke [ NROWS=128 XPERCOL=256 NCOLS=128 ROWSPERPE=256 NNZ_CAPACITY=174 MATRIX_NNZ=2097152 MIN_NNZ=87 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_1024nnzperrow_256,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_1024nnzperrow_256_cache,256,256,32768,32768,620,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/054_matrix_32768rows_1024nnzperrow_256_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:07.36 FAIL smoke [ NROWS=256 XPERCOL=128 NCOLS=256 ROWSPERPE=128 NNZ_CAPACITY=620 MATRIX_NNZ=33554432 MIN_NNZ=425 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_16nnzperrow_256,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_16nnzperrow_256_cache,256,256,32768,32768,21,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/055_matrix_32768rows_16nnzperrow_256_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.87 FAIL smoke [ NROWS=256 XPERCOL=128 NCOLS=256 ROWSPERPE=128 NNZ_CAPACITY=21 MATRIX_NNZ=524288 MIN_NNZ=0 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_256nnzperrow_256,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_256nnzperrow_256_cache,256,256,32768,32768,189,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/056_matrix_32768rows_256nnzperrow_256_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.83 FAIL smoke [ NROWS=256 XPERCOL=128 NCOLS=256 ROWSPERPE=128 NNZ_CAPACITY=189 MATRIX_NNZ=8388608 MIN_NNZ=84 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_32768rows_64nnzperrow_256,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_32768rows_64nnzperrow_256_cache,256,256,32768,32768,60,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/057_matrix_32768rows_64nnzperrow_256_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.77 FAIL smoke [ NROWS=256 XPERCOL=128 NCOLS=256 ROWSPERPE=128 NNZ_CAPACITY=60 MATRIX_NNZ=2097152 MIN_NNZ=12 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_8192rows_1024nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_8192rows_1024nnzperrow_64_cache,64,64,8192,8192,2215,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/058_matrix_8192rows_1024nnzperrow_64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:03.51 FAIL smoke [ NROWS=64 XPERCOL=128 NCOLS=64 ROWSPERPE=128 NNZ_CAPACITY=2215 MATRIX_NNZ=8388608 MIN_NNZ=1909 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_8192rows_16nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_8192rows_16nnzperrow_64_cache,64,64,8192,8192,53,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/059_matrix_8192rows_16nnzperrow_64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:01.57 FAIL smoke [ NROWS=64 XPERCOL=128 NCOLS=64 ROWSPERPE=128 NNZ_CAPACITY=53 MATRIX_NNZ=131072 MIN_NNZ=15 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
matrix_8192rows_256nnzperrow_64,/projects/cerebras/sandbox/maytayl/matrix-space/matrix_8192rows_256nnzperrow_64_cache,64,64,8192,8192,594,,,,,,error,make,nonzero_exit,2,/projects/cerebras/sandbox/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/060_matrix_8192rows_256nnzperrow_64_make-log,"spmv32                  :  Command  exited    withnon-zero  status       2 0:02.50 FAIL smoke [ NROWS=64 XPERCOL=128 NCOLS=64 ROWSPERPE=128 NNZ_CAPACITY=594 MATRIX_NNZ=2097152 MIN_NNZ=421 ] 
make: *** [/projects/cerebras/sandbox/sysroot-generic-20260715/share/build/test.mk:150: status/test-smoke/bench.img] Error 1
"
