name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,passed,status,failed_step,error_type,returncode,saved_make_log,cli_tail
Chebyshev4.073026.512x512.cyclic,/home/maytayl/matrices/cache/Chebyshev4.073026.512x512.cyclic,512,512,68121,68121,281,13741.0,10391.0,8911.0,2476.0,True,ok,,,,,
atmosmodl.073026.512x512.cyclic,/home/maytayl/matrices/cache/atmosmodl.073026.512x512.cyclic,512,512,1489752,1489752,2910,133389.0,129390.0,119346.0,52398.0,False,error,driver,RuntimeError,,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/002_atmosmodl.073026.512x512.cyclic_make-log,"FAIL: float32 mismatch(es) found
  idx 406137: got=0.031250000, ref=0.039062500, absdiff=0.007812500
  idx 411343: got=-0.955078125, ref=-0.972656250, absdiff=0.017578125
  idx 583152: got=0.875000000, ref=0.855468750, absdiff=0.019531250
  idx 672508: got=-0.097656250, ref=-0.101562500, absdiff=0.003906250
  idx 1174254: got=-0.597656250, ref=-0.589843750, absdiff=0.007812500"
dielFilterV2real.073026.512x512.cyclic,/home/maytayl/matrices/cache/dielFilterV2real.073026.512x512.cyclic,512,512,1157456,1157456,2435,110180.0,100145.0,96738.0,42785.0,False,error,driver,RuntimeError,,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/003_dielFilterV2real.073026.512x512.cyclic_make-log,"FAIL: float32 mismatch(es) found
  idx 680737: got=-0.000027776, ref=-0.000030444, absdiff=0.000002668
  idx 725695: got=-0.000000723, ref=-0.000000790, absdiff=0.000000067
  idx 912581: got=0.000002718, ref=0.000002759, absdiff=0.000000041"
radiation.073026.512x512.cyclic,/home/maytayl/matrices/cache/radiation.073026.512x512.cyclic,512,512,223104,223104,488,27001.0,19378.0,19109.0,7936.0,False,error,driver,RuntimeError,,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/004_radiation.073026.512x512.cyclic_make-log,"FAIL: float32 mismatch(es) found
  idx 33008: got=-0.000000008, ref=-0.000000009, absdiff=0.000000000"
com-Youtube.073026.512x512.cyclic,/home/maytayl/matrices/cache/com-Youtube.073026.512x512.cyclic,512,512,1134890,1134890,132,53915.0,52555.0,42978.0,39970.0,True,ok,,,,,
crankseg_1.073026.512x512.cyclic,/home/maytayl/matrices/cache/crankseg_1.073026.512x512.cyclic,512,512,52804,52804,157,12554.0,10233.0,5502.0,2213.0,False,error,driver,RuntimeError,,/home/maytayl/groc-scratch-summer26/spmv/spmv32/scripts/saved_make_logs/007_crankseg_1.073026.512x512.cyclic_make-log,"FAIL: float32 mismatch(es) found
  idx 28624: got=43.875000000, ref=40.988281250, absdiff=2.886718750
  idx 47125: got=-8.882812500, ref=-8.501953125, absdiff=0.380859375"
kron_g500-logn17.073026.512x512.cyclic,/home/maytayl/matrices/cache/kron_g500-logn17.073026.512x512.cyclic,512,512,131072,131072,157,14800.0,13566.0,8256.0,4691.0,True,ok,,,,,
