name,artifact_dir,nrows,ncols,matrix_nrows,matrix_ncols,nnz_max_capacity,max_time,min_time,max_chain_time,min_chain_time,format,passed,status,failed_step,error_type,returncode,saved_make_log
com-Youtube.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.256x256.cyclic,256,255,1134890,1134890,306,19613.0,16289.0,7378.0,922.0,,True,ok,,,,
com-Youtube.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.384x384.random,384,384,1134890,1134890,174,15701.0,13175.0,4210.0,250.0,,True,ok,,,,
com-Youtube.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.512x512.random,512,512,1134890,1134890,134,14989.0,12963.0,3250.0,58.0,,True,ok,,,,
crankseg_1.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.256x256.cyclic,256,255,52804,52804,220,9170.0,7845.0,5314.0,2770.0,,True,ok,,,,
Chebyshev4.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.256x256.cyclic,256,255,68121,68121,343,13307.0,10672.0,12732.0,6228.0,row,True,ok,,,,
Chebyshev4.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.384x384.cyclic,384,383,68121,68121,216,10080.0,9657.0,8209.0,3591.0,row,True,ok,,,,
Chebyshev4.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/Chebyshev4.073026.512x512.cyclic,512,511,68121,68121,180,11018.0,10340.0,6587.0,2475.0,row,True,ok,,,,
com-Youtube.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.256x256.cyclic,256,255,1134890,1134890,306,97443.0,95970.0,86869.0,80682.0,row,True,ok,,,,
com-Youtube.073026.384x384.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.384x384.random,384,384,1134890,1134890,174,67469.0,65874.0,57246.0,53433.0,row,True,ok,,,,
com-Youtube.073026.512x512.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/com-Youtube.073026.512x512.random,512,512,1134890,1134890,134,53345.0,52614.0,43024.0,39947.0,row,True,ok,,,,
crankseg_1.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/crankseg_1.073026.256x256.cyclic,256,255,52804,52804,220,12525.0,11125.0,8804.0,6384.0,row,True,ok,,,,
kron_g500-logn17.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.256x256.cyclic,256,255,131072,131072,413,19716.0,18931.0,18750.0,9987.0,row,True,ok,,,,
kron_g500-logn17.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.384x384.cyclic,384,383,131072,131072,220,15284.0,13646.0,11251.0,6357.0,row,True,ok,,,,
kron_g500-logn17.073026.512x512.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/kron_g500-logn17.073026.512x512.cyclic,512,511,131072,131072,160,14301.0,12874.0,8325.0,4691.0,row,True,ok,,,,
radiation.073026.256x256.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.256x256.cyclic,256,255,223104,223104,170,25063.0,23726.0,19625.0,17504.0,row,True,ok,,,,
radiation.073026.384x384.cyclic,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/radiation.073026.384x384.cyclic,384,383,223104,223104,96,19156.0,18437.0,12703.0,11070.0,row,True,ok,,,,
atmosmodl.073026.256x256.blocked,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.256x256.blocked,,,,,,,,,,,,skipped,,,,
atmosmodl.073026.256x256.random,/projects/cerebras/sandbox/maytayl/suitesparse-matrices/cache/atmosmodl.073026.256x256.random,,,,,,,,,,,,skipped,,,,
